x,fresnel_c(x),fresnel_s(x)
0.984375,0.77951197811514644463037027414195122311361987505656468533274263779310595802,0.42264034827489135891417352408228902646631356868206287062328633423927022164
1,0.77989340037682282947420641365269013663062570813632096010313358317807176098,0.43825914739035476607675669662515263749378657245241656733440732626580593821
1.015625,0.77950798626082364784375396271256972441213666717283840604722297792156446755,0.45387779947662500712498506581388851236023821153935794540381401636805987634
1.03125,0.77834471908536984194507747224720411722200340885818039602747224714258538731,0.46945778955582319226886937775548061141836944822727185572494467560038134469
1.046875,0.77639460476410522345833893848426277793062184708408741627123280649592232895,0.48495891067512222192049643001701835729198915328103792710051580510419976566
1.0625,0.77365084719733626711933472417447205321328642940809085104913424984367358245,0.50033934931461712423037150408916459771686422624448754975334999045252356541
1.078125,0.77010902386592895641641800720560384013136209435564565492841231867946983803,0.51555578642718549580027610818908643134604064468084275278492854717134388898
1.09375,0.76576726042565999545951354887158790133688674750929501664138949630488536572,0.53056351476294121717452869091157451953276466663416817953059288607098978559
1.109375,0.76062640299313077720279291567979755469531137723145243165551010013029861569,0.5453165730616677439101845338090469203952183004995481375849587891240935654
1.125,0.75469018670844954622034227769577171372111376253494201039702315091547917659,0.55976789761486591664661272736226189862516391089929846612082534724927034271
1.140625,0.74796539905594160452442409516978585597096093421787443781004212222456920132,0.57386949160418794897649041435792483304288112106367572594631205419808356662
1.15625,0.74046203632344933139715860285983086941676891166685742296515977550335337894,0.58757261251455492594899085429380547930026935023363313072504531828594767673
